ID_MOEDA;DATA_REF;VL_COTACAO
EGP;25/02/2015;3,686294794
EGP;20/10/2011;5,79032743
EGP;16/08/2012;3,585604489
EGP;09/05/2014;6,816693544
EGP;07/10/2013;7,133802772
EGP;08/07/2014;5,767751813
EGP;03/10/2011;7,321409285
EGP;08/02/2013;5,463430345
EGP;19/11/2014;4,140411496
EGP;20/08/2012;2,532850921
EGP;14/05/2014;3,402144849
EGP;22/12/2011;4,720339239
EGP;15/08/2014;6,010025382
EGP;12/02/2014;6,424759507
EGP;20/01/2012;4,779467344
EGP;07/09/2011;3,411792934
EGP;24/10/2014;6,163778067
EGP;21/08/2012;1,865365267
EGP;22/09/2014;6,441291094
EGP;21/10/2013;5,032293558
EGP;21/06/2013;5,167357564
EGP;11/08/2011;3,060474396
EGP;03/02/2015;7,15451169
EGP;15/08/2011;7,11808145
EGP;21/02/2013;6,379328728
EGP;07/10/2014;5,914061487
EGP;30/01/2013;4,818752289
EGP;31/08/2011;7,767754197
EGP;19/09/2013;7,328395009
EGP;31/10/2013;2,435521841
EGP;21/12/2012;7,319171667
EGP;28/08/2013;4,664081693
EGP;11/01/2013;7,732305706
EGP;13/11/2012;6,103538036
EGP;14/11/2011;1,978856266
EGP;02/09/2013;6,830892384
EGP;02/05/2012;5,058069766
EGP;02/07/2012;7,06319952
EGP;29/07/2014;7,508583128
EGP;27/09/2011;4,695159256
EGP;05/06/2013;1,950523257
EGP;29/04/2013;2,553760946
EGP;13/03/2014;5,337744892
EGP;19/06/2014;6,08770448
EGP;27/09/2013;6,264304399
EGP;03/08/2015;3,49131161
EGP;29/06/2012;3,372260988
EGP;16/02/2012;1,645879686
EGP;31/05/2012;4,94295156
EGP;16/01/2013;5,362562299
EGP;26/04/2012;7,028400242
EGP;03/07/2014;1,975111187
EGP;11/03/2013;2,30693078
EGP;14/02/2012;7,03300482
EGP;31/01/2014;4,652592778
EGP;22/08/2013;7,758209586
EGP;16/09/2014;4,755670071
EGP;07/02/2014;1,535177886
EGP;24/09/2015;6,616739452
EGP;21/03/2012;6,842817724
EGP;01/09/2014;7,389324725
EGP;04/11/2015;5,382216454
EGP;08/08/2012;5,794350803
EGP;20/06/2012;6,625402451
EGP;07/03/2012;2,176211417
EGP;13/08/2014;1,763094902
EGP;22/06/2015;1,562917173
EGP;14/03/2012;1,861949801
EGP;29/08/2011;4,819237947
EGP;20/01/2015;2,096604705
EGP;27/02/2012;2,063217759
EGP;04/10/2012;1,384192705
EGP;11/09/2015;2,501170039
EGP;08/07/2015;1,396182716
EGP;14/03/2013;6,322966039
EGP;11/09/2012;6,025674522
EGP;23/08/2012;3,276650071
EGP;01/10/2013;1,222571015
EGP;18/05/2012;3,858908474
EGP;17/10/2012;6,309510291
EGP;27/06/2013;3,608778834
EGP;28/11/2012;3,476761043
EGP;17/06/2015;7,862605333
EGP;07/02/2013;5,633442998
EGP;11/12/2013;5,683299363
EGP;07/12/2011;5,624226332
EGP;21/09/2011;7,471462786
EGP;16/11/2015;2,621435642
EGP;25/01/2013;1,715269625
EGP;28/08/2014;3,779428184
EGP;12/10/2015;4,118389547
EGP;06/07/2012;7,3043015
EGP;26/06/2014;6,330805421
EGP;06/03/2013;1,255918324
EGP;21/11/2012;1,227604508
EGP;05/12/2011;5,488918662
EGP;01/06/2015;6,245473862
EGP;10/04/2014;3,707922876
EGP;30/04/2015;5,530945659
EGP;10/09/2012;1,324527621
EGP;17/11/2015;3,217592061
EGP;24/03/2015;6,773690641
EGP;14/09/2011;6,671915531
EGP;08/12/2011;5,117667258
EGP;21/10/2011;3,302591503
EGP;13/05/2015;2,861580074
EGP;02/01/2013;2,170138597
EGP;26/12/2011;3,173442185
EGP;04/11/2011;2,216616213
EGP;23/10/2015;5,132300854
EGP;16/05/2012;6,773607194
EGP;12/08/2011;6,155846894
EGP;18/11/2011;5,985925615
EGP;21/04/2015;7,568677127
EGP;22/10/2014;3,721394897
EGP;22/11/2012;7,938270032
EGP;06/10/2011;5,822610378
EGP;14/11/2013;6,826344132
EGP;11/10/2012;2,708177865
EGP;02/09/2011;4,351031303
EGP;04/08/2011;2,005862892
EGP;07/09/2015;5,50341332
EGP;02/09/2015;4,560530841
EGP;25/04/2014;4,175076842
EGP;26/09/2012;2,498698354
EGP;19/11/2015;1,257848442
EGP;21/05/2012;4,373642802
EGP;12/08/2013;3,045468211
EGP;17/01/2012;3,481092751
EGP;20/11/2014;7,187642038
EGP;18/02/2014;6,706383109
EGP;21/01/2015;2,496064365
EGP;11/11/2011;6,525517821
EGP;12/09/2014;1,329966664
EGP;03/02/2014;6,765356004
EGP;20/03/2015;5,678824961
EGP;28/05/2013;2,996395826
EGP;29/05/2015;1,096170843
EGP;16/08/2013;5,457420945
EGP;21/08/2015;1,507867515
EGP;08/10/2013;6,490915477
EGP;12/11/2012;3,432382524
EGP;07/03/2014;6,787489355
EGP;09/12/2013;7,67282337
EGP;09/11/2015;2,33932513
EGP;31/10/2014;3,074110806
EGP;04/03/2013;7,546235025
EGP;21/08/2014;5,24866116
EGP;21/11/2014;4,332876682
EGP;09/02/2015;3,41445446
EGP;31/12/2012;1,162314296
EGP;02/06/2014;5,154873133
EGP;22/01/2013;5,775831103
EGP;29/08/2013;5,917412698
EGP;18/01/2013;3,875202656
EGP;28/05/2014;3,049310505
EGP;28/08/2012;3,94926101
EGP;27/05/2015;6,866348803
EGP;27/12/2012;2,081990719
EGP;31/07/2015;6,784997225
EGP;06/12/2013;4,089198709
EGP;24/01/2013;2,96327424
EGP;17/11/2011;1,476204991
EGP;19/03/2012;7,681080401
EGP;11/08/2015;5,358753383
EGP;14/09/2015;2,174458206
EGP;12/07/2013;4,686802924
EGP;01/11/2013;6,528507292
EGP;23/04/2012;6,523737073
EGP;05/09/2012;6,796151102
EGP;07/06/2012;5,529019296
EGP;25/12/2012;4,502509236
EGP;19/06/2015;1,77134192
EGP;20/09/2012;7,940436721
EGP;22/05/2014;5,979476035
EGP;02/03/2015;1,23638767
EGP;20/09/2013;1,978183687
EGP;04/06/2013;3,219674885
EGP;20/09/2011;3,801704645
EGP;26/01/2015;6,843617558
EGP;01/04/2015;2,37932688
EGP;13/09/2012;2,668041766
EGP;11/04/2012;5,327391267
EGP;07/11/2012;4,504140615
EGP;27/08/2015;4,954977453
EGP;15/10/2012;7,02956599
EGP;19/08/2014;3,259499311
EGP;02/05/2013;7,898846984
EGP;16/04/2015;6,591423035
EGP;28/01/2015;3,819934368
EGP;06/07/2015;5,380966008
EGP;28/02/2012;7,53689903
EGP;26/03/2013;3,357494295
EGP;29/05/2014;4,758491397
EGP;28/04/2014;4,053616703
EGP;25/10/2011;5,797989905
EGP;22/02/2012;5,982596099
EGP;28/01/2014;6,66459769
EGP;12/09/2012;3,397636652
EGP;20/02/2014;6,354843855
EGP;25/08/2015;2,914028704
EGP;24/12/2012;2,828729689
EGP;02/09/2014;3,190353036
EGP;13/05/2013;3,025458157
EGP;08/04/2014;6,844368994
EGP;09/08/2011;4,387162805
EGP;14/10/2013;2,622878015
EGP;23/11/2012;1,544371605
EGP;05/10/2011;3,721988618
EGP;22/09/2011;4,803313851
EGP;16/11/2011;2,757419646
EGP;24/06/2013;5,371452272
EGP;15/06/2015;1,199324489
EGP;17/07/2012;5,185224712
EGP;15/06/2012;1,452393115
EGP;30/10/2015;3,426930964
EGP;10/06/2015;1,82295984
EGP;23/01/2012;6,462491095
EGP;17/09/2014;1,005318463
EGP;31/01/2013;1,482575715
EGP;20/04/2012;5,602578223
EGP;24/11/2011;7,416941345
EGP;20/08/2013;3,245532036
EGP;07/08/2015;4,494320214
EGP;22/07/2013;6,732272804
EGP;28/07/2014;2,063256979
EGP;24/06/2014;7,712962389
EGP;08/08/2013;6,055552959
EGP;04/04/2013;1,506209016
EGP;25/09/2012;6,951093733
EGP;09/08/2012;3,302057028
EGP;03/08/2012;4,387607574
EGP;29/11/2012;5,339787245
EGP;06/10/2015;2,263839424
EGP;17/12/2014;7,83098495
EGP;15/05/2014;6,785559654
EGP;10/08/2011;7,612915456
EGP;23/05/2013;6,235428154
EGP;31/12/2014;7,740603209
EGP;27/12/2013;6,373286784
EGP;30/10/2013;5,071477115
EGP;04/10/2011;7,840876698
EGP;15/01/2014;4,113096118
EGP;15/03/2013;4,865869522
EGP;07/01/2014;7,95668292
EGP;12/03/2014;5,054976821
EGP;09/04/2013;1,753122628
EGP;18/04/2014;6,197321475
EGP;08/08/2011;1,024893343
EGP;08/10/2015;4,713869631
EGP;18/11/2014;3,95886904
EGP;08/01/2015;7,372236133
EGP;10/12/2014;4,220911086
EGP;03/10/2014;4,160676062
EGP;24/09/2013;2,344628155
EGP;25/08/2014;1,346186161
EGP;10/07/2015;3,412771761
EGP;29/10/2015;7,471822023
EGP;20/05/2014;7,706871212
EGP;05/11/2013;5,363214433
EGP;09/06/2014;5,722873032
EGP;05/08/2014;1,745037913
EGP;09/06/2015;5,256438375
EGP;12/08/2015;6,666466475
EGP;16/10/2012;3,034888029
EGP;05/11/2012;4,16893518
EGP;15/05/2013;1,155596435
EGP;28/03/2013;1,524048626
EGP;08/05/2012;5,046262085
EGP;09/07/2015;3,217752695
EGP;12/11/2013;4,246754885
EGP;31/10/2012;6,129116476
EGP;10/01/2013;6,400995612
EGP;25/11/2015;7,5628075
EGP;07/07/2014;1,014729559
EGP;22/05/2015;5,488334537
EGP;25/07/2013;6,055345178
EGP;21/09/2012;5,267302692
EGP;10/07/2012;7,465357423
EGP;10/11/2011;7,419774354
EGP;16/03/2012;1,562561274
EGP;27/07/2015;2,181499004
EGP;03/12/2012;4,557190061
EGP;19/10/2015;1,688909292
EGP;18/10/2012;1,176378369
EGP;10/01/2012;4,262683153
EGP;20/02/2015;7,094877064
EGP;12/04/2012;5,851800382
EGP;17/10/2014;3,804256856
EGP;01/11/2012;2,289215088
EGP;05/10/2012;2,863647044
EGP;11/12/2014;1,419715047
EGP;20/07/2012;6,813436627
EGP;13/06/2013;7,118551254
EGP;16/10/2014;3,587705255
EGP;07/08/2014;2,848244905
EGP;25/09/2014;7,754807889
EGP;08/01/2014;5,899594367
EGP;19/06/2012;4,214319646
EGP;27/07/2012;1,251880348
EGP;13/02/2012;5,484803915
EGP;17/08/2011;2,116769552
EGP;04/09/2012;7,251377225
EGP;21/02/2012;4,599629283
EGP;05/06/2015;4,765788794
EGP;19/08/2013;7,143351972
EGP;27/10/2011;2,493636072
EGP;10/06/2013;5,481003344
EGP;07/01/2013;1,314206541
EGP;20/11/2012;4,650670588
EGP;15/01/2015;7,071754873
EGP;08/12/2014;5,055094898
EGP;26/10/2015;1,639097989
EGP;20/11/2013;5,437862754
EGP;30/07/2012;4,6350348
EGP;13/08/2015;6,557353079
EGP;22/03/2013;5,494451582
EGP;13/01/2015;6,518583834
EGP;24/02/2012;3,360414088
EGP;27/02/2015;4,092750192
EGP;09/10/2012;7,140214384
EGP;18/04/2012;7,449281871
EGP;01/08/2014;3,845088482
EGP;03/04/2012;6,761323452
EGP;22/08/2012;1,297082484
EGP;14/12/2011;3,89904958
EGP;14/07/2014;3,37743175
EGP;28/10/2013;7,714787781
EGP;17/04/2013;2,658926904
EGP;11/07/2012;6,902745664
EGP;27/06/2014;7,02515167
EGP;06/02/2015;1,964648664
EGP;11/09/2014;3,03858763
EGP;12/12/2011;6,460575998
EGP;26/06/2015;7,971616924
EGP;01/03/2013;5,561245084
EGP;10/03/2015;5,191320479
EGP;25/05/2015;4,335035026
EGP;21/11/2013;5,029907405
EGP;09/07/2012;7,607226908
EGP;25/11/2014;1,008178592
EGP;15/05/2015;6,340605795
EGP;17/02/2015;6,730404019
EGP;24/04/2014;7,200650513
EGP;19/01/2012;5,071737468
EGP;22/11/2011;4,535399258
EGP;14/08/2015;2,005115628
EGP;05/03/2014;5,29298836
EGP;30/08/2011;5,451089442
EGP;27/08/2012;1,77484417
EGP;15/10/2015;5,630437255
EGP;11/06/2013;2,106723428
EGP;05/12/2012;2,396383762
EGP;30/05/2013;5,013542295
EGP;17/10/2011;1,309480131
EGP;13/11/2014;7,5451473
EGP;20/05/2013;7,567989945
EGP;29/08/2014;2,480125666
EGP;01/01/2015;4,032208502
EGP;02/02/2012;2,977675021
EGP;22/03/2012;1,884439468
EGP;29/08/2012;3,92826879
EGP;04/09/2014;6,425905228
EGP;12/03/2012;3,109163761
EGP;09/10/2014;1,57807523
EGP;13/08/2013;7,309141815
EGP;05/02/2015;1,113342881
EGP;25/02/2013;2,165504813
EGP;04/02/2013;6,567506015
EGP;23/07/2015;3,003583074
EGP;29/01/2013;5,404426992
EGP;11/07/2014;6,522033513
EGP;22/07/2015;5,265220702
EGP;21/03/2014;4,505051434
EGP;06/05/2013;6,245221853
EGP;06/08/2013;5,621533513
EGP;15/05/2012;5,606873631
EGP;23/01/2015;1,56073004
EGP;27/03/2015;3,123831153
EGP;04/07/2012;1,696318507
EGP;23/02/2012;2,180192232
EGP;21/11/2011;7,521033764
EGP;20/08/2014;5,293879569
EGP;27/03/2012;1,944342792
EGP;05/07/2012;5,983544052
EGP;11/01/2012;5,73989445
EGP;23/10/2014;7,21935004
EGP;16/05/2013;4,001034975
EGP;30/09/2011;1,619788885
EGP;31/03/2015;2,248594999
EGP;08/09/2015;4,171878755
EGP;14/10/2014;1,63408494
EGP;25/03/2014;4,163342178
EGP;14/06/2013;2,608569443
EGP;04/07/2014;4,499033689
EGP;14/06/2012;7,220821619
EGP;05/04/2013;5,174722135
EGP;06/09/2012;6,683130741
EGP;05/11/2015;2,013862908
EGP;05/06/2012;2,085341513
EGP;22/07/2014;5,182498932
EGP;07/08/2013;4,6788463
EGP;15/12/2011;6,967086673
EGP;14/05/2013;2,170868754
EGP;15/10/2013;3,740059376
EGP;21/12/2011;6,167110085
EGP;30/01/2014;2,108779967
EGP;17/04/2015;7,566907227
EGP;16/04/2012;2,378076851
EGP;14/02/2013;7,641699493
EGP;13/01/2014;5,513370991
EGP;01/07/2013;2,860194445
EGP;28/02/2014;7,095073581
EGP;24/07/2015;2,251447618
EGP;18/12/2014;5,352982223
EGP;15/04/2015;1,213276327
EGP;04/01/2012;6,931127071
EGP;25/11/2013;5,402426779
EGP;12/03/2015;1,066814363
EGP;14/03/2014;5,451171637
EGP;24/10/2013;4,474499166
EGP;03/09/2013;3,941089511
EGP;19/03/2014;6,969966829
EGP;29/09/2014;5,177019417
EGP;02/11/2012;3,137593567
EGP;29/03/2013;7,262987971
EGP;10/06/2014;2,333018661
EGP;27/12/2011;5,989123702
EGP;08/10/2014;5,788383961
EGP;25/02/2014;1,909684122
